检验项,指标,数值,阈值/期望,结论
1. 热平衡残差,端点Q最大相对残差（独立离散检验）,6.456e-03,< 2e-2,通过
1. 热平衡残差,中点Q最大相对残差,1.968e-03,< 1e-2,通过
1. 热平衡残差,年均累计残差相对值（端点Q）,9.548e-05,< 2e-2,通过
1. 热平衡残差,每步最大残差绝对量（端点Q）,4.1967e+01 W,接近 0,通过
1. 热平衡残差,RK4等效Q内部自洽残差,6.653e-16,非独立判据，仅自检,通过（自洽）
2. 边界条件,海温范围,19.557 ~ 28.705 degC,0 ~ 40 degC,通过
2. 边界条件,流速范围,0.0178 ~ 0.3270 m/s,0 ~ 1 m/s,通过
2. 边界条件,浸没深度范围,28.466 ~ 31.526 m,0 ~ 200 m,通过
2. 边界条件,海温最大小时跳变,0.0214 degC/h,<= 0.5 degC/h,通过
2. 边界条件,流速最大小时跳变,0.0856 m/s/h,<= 0.10 m/s/h,通过
2. 边界条件,水深最大小时跳变,0.5900 m/h,<= 1.0 m/h,通过
2. 边界条件,数值完整性,无 NaN/Inf,全部有限,通过
3. 关联式适用域,低速 0.001 m/s 时 h_mixed/h_nat,1.0005,≈ 1（退化为自然对流）,通过
3. 关联式适用域,高速 0.30 m/s 时 h_mixed/h_forced,1.0000,≈ 1（强制对流主导）,通过
3. 关联式适用域,RePr 全年范围,1.21e+05 ~ 2.2e+06,0.2 ~ 1e7,通过
3. 关联式适用域,关联式域内小时占比,100.000%,>= 99%,通过
3. 关联式适用域,全年流态统计,自然 4 h / 强制 3370 h / 混合 5386 h,自然/强制/混合均有覆盖,通过
4. 极限情景,高温极值 T_max,79.285 degC,有限且大于海温；超过 80 degC 属预期降载,通过
4. 极限情景,低温运行 T_min,68.739 degC,>= 海温且 > 0,通过
4. 极限情景,无产热下限 T_min,19.557 degC,≈ 海温且 > 0,通过
5. 参数敏感性,季节振幅 +10% T_max 变化,+0.4511 K,> 0,符合物理直觉
5. 参数敏感性,潮汐流速 0.30 m/s T_max 变化,-0.0816 K,< 0,符合物理直觉
5. 参数敏感性,壳体质量 +50% T_max 变化,-0.0254 K,≤ 0 或基本不变,符合物理直觉
5. 参数敏感性,比热容 +50% T_max 变化,-0.0254 K,≤ 0 或基本不变,符合物理直觉
5. 参数敏感性,有效散热面积 +10% T_max 变化,-0.0674 K,< 0,符合物理直觉
5. 参数敏感性,方向一致性,10/10 项合理或基本不变,全部合理或基本不变,通过
6. 周期稳定性,去初始瞬态后最大绝对温差,0.000000 K,<= 0.1 K,通过
6. 周期稳定性,去初始瞬态后平均绝对温差,0.000000 K,<= 0.1 K,通过
6. 周期稳定性,初值影响结论,第二年与第一年基本重合,差异小时方可直接采用年度结果,通过
