检验类别,检验项,数值,来源文件,来源位置,通过,约束项,推荐值/限值,单位,余量,说明,情景,服务器数N,空间上限,壁厚mm,承压需求mm,最热壳温℃,寿命/工况值,裕量比,裕量比口径,模型/拟合对象,样本量,R2,RMSE,max|残差|,点估计,95%CI下限,95%CI上限
1_结论可追溯,问题1 最大服务器数,15,Q1_结果.csv,项目=最终容量 N,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题1 最大散热量,7761.480051578859,Q1_结果.csv,项目=最大散热量 Q_max,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题2 最优结构台数,19,问题2_结果.csv,全局最优（长方体）/N_台,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题2 有效散热面积,125.389,问题2_结果.csv,全局最优（长方体）/A_eff_m2,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 推荐材料,6061 铝合金,结果_TOPSIS排名.csv,排名=1/材料,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 推荐水深,100.0,结果_TOPSIS排名.csv,排名=1/depth,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 推荐壁厚,0.0120601085296335,结果_TOPSIS排名.csv,排名=1/wall,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 最大服务器数,992,结果_TOPSIS排名.csv,排名=1/N,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 成本,57513.08752640447,结果_TOPSIS排名.csv,排名=1/cost,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 寿命,50.0,结果_TOPSIS排名.csv,排名=1/life,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 海水温度,20.30362060856164,结果_TOPSIS排名.csv,排名=1/T_sea,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 承压壁厚,0.004557470975974,结果_TOPSIS排名.csv,排名=1/t_req,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题3 腐蚀余量,7.502637553659571,结果_TOPSIS排名.csv,排名=1/corr_allow_mm,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题4 动态最大服务器数,13,结果_基准算例.csv,季节+潮汐/N,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题4 全年最高壳温（基准算例）,78.51474426496202,结果_基准算例.csv,季节+潮汐/T_max_degC,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题4 最不利工况壳温,78.51474426496202,结果_最不利工况.csv,全年最热/T_shell_degC,PASS,,,,,,,,,,,,,,,,,,,,,,
1_结论可追溯,问题4 最不利时刻,2026-08-07 22:00:00,结果_最不利工况.csv,全年最热/时刻,PASS,,,,,,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,温度,78.51 <= 80.0,℃,1.49,问题4 全年最热工况壳温（圆柱基准代理，最终结构需复核）,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,空间,992 <= 992.05,台,0.05,问题3 TOPSIS 空间上限约束,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,耐压,12.06 >= 4.56,mm,7.50,静水压力最小壁厚 t_req,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,防腐,7.50 > 0,mm,7.50,腐蚀余量为正，寿命可达50年,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,翅片外轮廓,1.000 <= 1.000,m,0.000,由问题2几何定义保证（基体0.990 m + 2*Hf=0.010 m，非独立检验）,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,翅片布置,0.265 <= 0.990,m,0.725,每面翅根总宽不超过基体边长,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,水深,"100 in [5,100]",m,0.00,附件 DEPTH 搜索区间,,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,寿命,"50 in [10,50]",年,40,"MIN_LIFE=10, LIFE_CAP=50",,,,,,,,,,,,,,,,,
2_约束审计,,,,,PASS,成本,57513.09,元,无预算上限输入,作为目标审计；单调性已由问题3成本-壁厚检验通过,,,,,,,,,,,,,,,,,
3_情景稳健性,,,,,PASS,,,,,6061铝合金/100m/12.06mm；壳温为问题4圆柱基准代理，最终结构需复核,最优情景（问题3 TOPSIS 推荐方案）,992.0,992.0537273718508,12.0601085296335,4.557470975974,78.51474426496202,50.0,14.003806986792563,散热能力/负载（问题3模型口径）,,,,,,,,
3_情景稳健性,,,,,PASS,,,,,6061铝合金/50m/20mm；壳温为问题4圆柱基准代理,中间情景（问题3 基准方案）,958.0,958.4291277426092,20.0,2.278735487987,78.51474426496202,50.0,13.618023505789958,散热能力/负载（问题3模型口径）,,,,,,,,
